CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
18690,MR.,CARLOS,RIVERA,04-08-1929,M,M,carlos19@adventure-works.com,"40,000",2,Bachelors,Professional,Y
19464,MR.,TYRONE,ALONSO,11-08-1929,M,M,tyrone8@adventure-works.com,"10,000",4,High School,Manual,N
16212,MRS.,JACQUELINE,RIVERA,01-03-1930,M,F,jacqueline41@adventure-works.com,"50,000",1,Graduate Degree,Skilled Manual,Y
12758,MRS.,STEPHANIE,RAMIREZ,01-11-1930,M,F,stephanie22@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
27700,MR.,BARRY,ARUN,07-11-1930,M,M,barry7@adventure-works.com,"70,000",3,Graduate Degree,Management,N
21689,MRS.,OLIVIA,SIMMONS,02-04-1931,M,F,olivia60@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
27785,MR.,SEBASTIAN,BELL,10-05-1931,M,M,sebastian14@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
16413,MRS.,JULIA,GONZALEZ,05-07-1931,M,F,julia14@adventure-works.com,"10,000",4,High School,Manual,N
20242,MR.,CHRISTOPHER,THOMAS,07-07-1931,M,M,christopher11@adventure-works.com,"1,20,000",5,Graduate Degree,Management,N
23783,MR.,ZACHARY,SMITH,04-08-1931,M,M,zachary40@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
14876,MR.,NATHAN,ANDERSON,03-09-1931,M,M,nathan68@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
27195,MR.,ROBERT,PEREZ,12-10-1931,M,M,robert46@adventure-works.com,"80,000",5,Graduate Degree,Skilled Manual,Y
18949,MR.,JACKSON,HALL,07-02-1932,S,M,jackson52@adventure-works.com,"70,000",3,Graduate Degree,Management,Y
11251,MR.,XAVIER,LONG,07-04-1932,S,M,xavier51@adventure-works.com,"30,000",4,High School,Professional,N
12137,MR.,JACK,GREEN,11-04-1932,M,M,jack51@adventure-works.com,"90,000",3,Graduate Degree,Management,Y
20471,MR.,CARLOS,GONZALEZ,01-05-1932,M,M,carlos36@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
13267,MR.,MATTHEW,MOORE,03-05-1932,M,M,matthew13@adventure-works.com,"30,000",4,High School,Professional,N
21208,MRS.,OLIVIA,GRIFFIN,06-05-1932,S,F,olivia66@adventure-works.com,"30,000",2,Partial College,Clerical,Y
21430,MRS.,SAVANNAH,MORGAN,10-05-1932,M,F,savannah20@adventure-works.com,"90,000",3,Graduate Degree,Management,Y
11252,MR.,NICHOLAS,THOMPSON,06-07-1932,S,M,nicholas16@adventure-works.com,"90,000",3,Graduate Degree,Management,Y
18516,MR.,JUAN,BROOKS,08-07-1932,S,M,juan11@adventure-works.com,"70,000",3,Graduate Degree,Management,Y
17533,MR.,FERNANDO,BAKER,11-07-1932,M,M,fernando32@adventure-works.com,"40,000",3,Partial College,Professional,N
13269,MRS.,RACHEL,MARTIN,03-08-1932,S,F,rachel17@adventure-works.com,"50,000",2,Graduate Degree,Management,N
12136,MR.,BLAKE,TURNER,11-08-1932,M,M,blake41@adventure-works.com,"30,000",4,High School,Professional,N
29386,MR.,FRANKLIN,WANG,05-10-1932,S,M,franklin1@adventure-works.com,"20,000",2,Partial College,Manual,Y
16832,MR.,ISAIAH,PARKER,06-12-1932,S,M,isaiah21@adventure-works.com,"70,000",3,Graduate Degree,Management,Y
13273,MRS.,ELIZABETH,LEE,02-01-1933,S,F,elizabeth26@adventure-works.com,"1,10,000",1,Graduate Degree,Management,Y
13414,MR.,MIGUEL,WILSON,07-01-1933,M,M,miguel6@adventure-works.com,"80,000",3,Graduate Degree,Management,Y
18287,MRS.,HEATHER,ZENG,04-02-1933,M,F,heather21@adventure-works.com,"40,000",2,Bachelors,Professional,Y
11254,MR.,JOHNATHAN,VANCE,03-03-1933,M,M,johnathan5@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
25477,MRS.,HOLLY,RAMAN,08-03-1933,M,F,holly11@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
29387,MRS.,JENNY,CAI,12-03-1933,S,F,jenny23@adventure-works.com,"10,000",4,High School,Manual,N
11255,MR.,COLIN,LIN,04-04-1933,M,M,colin8@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
14433,MRS.,JENNIFER,PETERSON,06-05-1933,M,F,jennifer68@adventure-works.com,"1,10,000",1,Graduate Degree,Management,Y
11257,MRS.,JACQUELINE,POWELL,01-06-1933,S,F,jacqueline9@adventure-works.com,"1,20,000",1,Graduate Degree,Management,Y
13415,MR.,MARCUS,ROGERS,04-06-1933,S,M,marcus94@adventure-works.com,"1,00,000",1,Graduate Degree,Management,Y
22499,MRS.,DAWN,ZHOU,07-06-1933,M,F,dawn10@adventure-works.com,"10,000",4,High School,Manual,N
15359,MR.,LOGAN,YANG,04-07-1933,M,M,logan0@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
27793,MR.,MITCHELL,SHAN,09-07-1933,S,M,mitchell9@adventure-works.com,"10,000",4,High School,Manual,N
26144,MRS.,CASSIDY,RUSSELL,02-08-1933,S,F,cassidy21@adventure-works.com,"40,000",2,Bachelors,Professional,Y
13417,MR.,IAN,COX,03-10-1933,M,M,ian77@adventure-works.com,"1,10,000",1,Graduate Degree,Management,Y
18002,MRS.,GINA,NAVARRO,03-10-1933,M,F,gina10@adventure-works.com,"20,000",2,Partial College,Manual,Y
22947,MRS.,DANIELLE,TORRES,10-10-1933,S,F,danielle15@adventure-works.com,"40,000",2,Bachelors,Professional,N
27794,MRS.,DAWN,KUMAR,04-11-1933,M,F,dawn31@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
25633,MRS.,TARA,SUTTON,08-11-1933,M,F,tara4@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
11580,MR.,MELVIN,RAJE,09-12-1933,M,M,melvin12@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
13134,MRS.,SARA,MORGAN,05-01-1934,S,F,sara24@adventure-works.com,"50,000",1,Graduate Degree,Management,Y
29396,MR.,ARTURO,ZENG,06-01-1934,M,M,arturo24@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,N
27626,MR.,CONNOR,HAYES,09-01-1934,S,M,connor17@adventure-works.com,"90,000",4,Bachelors,Management,Y
18006,MR.,FRANKLIN,CHANDER,10-01-1934,M,M,franklin33@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
24097,MR.,FRANCISCO,FERNANDEZ,05-02-1934,M,M,francisco17@adventure-works.com,"30,000",1,Bachelors,Skilled Manual,Y
21908,MRS.,ISABEL,HAYES,07-02-1934,M,F,isabel21@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
25169,MR.,ANGEL,PETERSON,09-02-1934,S,M,angel4@adventure-works.com,"1,30,000",1,Graduate Degree,Management,N
22865,MRS.,STEPHANIE,HALL,02-03-1934,M,F,stephanie67@adventure-works.com,"80,000",4,Graduate Degree,Management,Y
25483,MR.,DENNIS,MA,02-03-1934,S,M,dennis17@adventure-works.com,"20,000",2,Partial College,Clerical,N
13803,MRS.,KRYSTAL,ZHENG,08-03-1934,M,F,krystal19@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
21579,MR.,WYATT,JACKSON,11-04-1934,M,M,wyatt12@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
29227,MR.,LEVI,PATEL,01-05-1934,S,M,levi2@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
21906,MRS.,MIRANDA,SIMMONS,02-05-1934,M,F,miranda15@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
13434,MRS.,KAITLYN,WRIGHT,12-05-1934,S,F,kaitlyn18@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
27807,MR.,SHAUN,KUMAR,12-05-1934,S,M,shaun8@adventure-works.com,"20,000",2,Partial College,Clerical,Y
18007,MRS.,MICHELE,SURI,02-08-1934,M,F,michele55@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
29395,MRS.,LYDIA,RANA,04-08-1934,S,F,lydia10@adventure-works.com,"20,000",2,Partial College,Clerical,N
17405,MRS.,TAMARA,WU,06-10-1934,S,F,tamara37@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
21577,MRS.,TIFFANY,MA,03-11-1934,M,F,tiffany16@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
15953,MR.,JULIO,MORENO,04-11-1934,M,M,julio6@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
26073,MRS.,JULIA,ADAMS,04-11-1934,S,F,julia12@adventure-works.com,"50,000",2,Graduate Degree,Management,N
12156,MRS.,BONNIE,RAJI,01-12-1934,M,F,bonnie27@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
11274,MR.,KYLE,FOSTER,04-12-1934,M,M,kyle11@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
12840,MRS.,NAOMI,SANZ,08-12-1934,M,F,naomi20@adventure-works.com,"40,000",1,Graduate Degree,Skilled Manual,Y
17407,MRS.,ELIZABETH,BRYANT,08-12-1934,M,F,elizabeth46@adventure-works.com,"80,000",4,Graduate Degree,Management,Y
15374,MRS.,DONNA,KUMAR,10-12-1934,M,F,donna7@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
22964,MR.,ERIC,HAYES,05-01-1935,S,M,eric30@adventure-works.com,"30,000",2,Partial College,Clerical,N
20357,MRS.,JULIAN,PRICE,08-01-1935,M,F,julian1@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
16874,MRS.,LESLIE,MUNOZ,09-01-1935,S,F,leslie8@adventure-works.com,"90,000",4,Bachelors,Management,Y
24422,,THOMAS,LAL,09-01-1935,M,NA,thomas32@adventure-works.com,"80,000",4,Graduate Degree,Management,Y
28457,MR.,BRUCE,GONZALEZ,10-01-1935,S,M,bruce18@adventure-works.com,"10,000",1,Graduate Degree,Clerical,N
11297,MR.,NOAH,COLEMAN,02-02-1935,S,M,noah2@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
28277,MRS.,KATRINA,DENG,02-02-1935,S,F,katrina0@adventure-works.com,"40,000",3,Partial College,Professional,Y
13461,MR.,ANTHONY,JONES,03-02-1935,S,M,anthony12@adventure-works.com,"1,30,000",2,Graduate Degree,Management,N
15393,MRS.,REBEKAH,RUIZ,10-02-1935,M,F,rebekah22@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
15972,MRS.,CAITLIN,BAILEY,10-02-1935,M,F,caitlin13@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
11298,MR.,JON,LUO,03-03-1935,M,M,jon46@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
17883,MRS.,LORI,RUBIO,09-03-1935,M,F,lori21@adventure-works.com,"20,000",1,Graduate Degree,Clerical,Y
21313,MRS.,BETH,DIAZ,09-03-1935,M,F,beth5@adventure-works.com,"70,000",4,Graduate Degree,Management,N
20359,MRS.,RACHEL,BLUE,03-04-1935,M,F,rachel34@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
18414,MRS.,GABRIELLE,GRIFFIN,10-05-1935,M,F,gabrielle43@adventure-works.com,"40,000",3,Partial College,Professional,N
27655,MRS.,MELINDA,ALVAREZ,12-05-1935,S,F,melinda1@adventure-works.com,"90,000",4,Bachelors,Management,Y
17444,MRS.,BAILEY,COX,05-06-1935,S,F,bailey8@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
23046,MRS.,PAMELA,MALHOTRA,08-07-1935,M,F,pamela8@adventure-works.com,"40,000",3,Partial College,Professional,Y
11296,MRS.,HALEY,RICHARDSON,10-07-1935,S,F,haley10@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
20965,MRS.,CYNTHIA,SUBRAM,05-08-1935,M,F,cynthia18@adventure-works.com,"30,000",1,Graduate Degree,Clerical,Y
22097,MR.,DAVID,ANDERSON,05-08-1935,M,M,david68@adventure-works.com,"40,000",3,Partial College,Professional,Y
22553,MRS.,MELINDA,VAZQUEZ,06-08-1935,M,F,melinda10@adventure-works.com,"30,000",1,Graduate Degree,Clerical,N
20356,MR.,LOUIS,LU,07-08-1935,M,M,louis5@adventure-works.com,"40,000",3,Partial College,Professional,N
19708,MRS.,APRIL,LUO,09-09-1935,M,F,april5@adventure-works.com,"80,000",4,Graduate Degree,Management,Y
26098,MR.,DANIEL,LEE,09-09-1935,S,M,daniel13@adventure-works.com,"1,30,000",2,Graduate Degree,Management,N
21312,MR.,CONNOR,SCOTT,03-10-1935,M,M,connor42@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
11119,MR.,EVAN,JAMES,04-10-1935,S,M,evan8@adventure-works.com,"30,000",2,Partial College,Clerical,N
27653,MRS.,KELLIE,RUBIO,05-10-1935,M,F,kellie18@adventure-works.com,"30,000",4,High School,Professional,Y
12179,MRS.,ALEXIS,JONES,10-10-1935,S,F,alexis3@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
26097,MR.,ROBERT,FLORES,06-11-1935,S,M,robert25@adventure-works.com,"1,30,000",2,Graduate Degree,Management,N
17448,MR.,ZACHARY,HAYES,03-12-1935,M,M,zachary21@adventure-works.com,"1,20,000",1,Graduate Degree,Management,Y
14537,MR.,CLAYTON,CAI,09-12-1935,M,M,clayton18@adventure-works.com,"20,000",1,Graduate Degree,Clerical,Y
11299,MR.,ORLANDO,VAZQUEZ,04-01-1936,M,M,orlando14@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
18845,MRS.,KATHERINE,HUGHES,04-01-1936,M,F,katherine37@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
26100,MRS.,JAMES,PTASZYNSKI,04-02-1936,S,F,james49@adventure-works.com,"40,000",3,Partial College,Professional,Y
22965,MRS.,CARRIE,GOMEZ,07-02-1936,S,F,carrie0@adventure-works.com,"30,000",2,Partial College,Clerical,N
23501,MRS.,ISABELLE,PERRY,07-02-1936,M,F,isabelle7@adventure-works.com,"90,000",4,Bachelors,Management,Y
16877,MRS.,KATELYN,ADAMS,09-02-1936,S,F,katelyn39@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
18846,MR.,DEB,HUGHES,03-03-1936,S,M,deb8@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
16936,MRS.,ALICE,SERVENTI,08-03-1936,M,F,alice3@adventure-works.com,"10,000",1,Graduate Degree,Clerical,Y
20361,MR.,JONATHON,MORENO,10-03-1936,M,M,jonathon3@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
18848,,CHRISTIAN,HARRIS,05-04-1936,M,NA,christian49@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
13463,MRS.,TAMMY,SARA,08-04-1936,M,F,tammy11@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
29441,MRS.,ADRIANA,PATEL,08-04-1936,M,F,adriana3@adventure-works.com,"20,000",1,Graduate Degree,Clerical,Y
13465,MRS.,SYDNEY,CAMPBELL,01-05-1936,M,F,sydney49@adventure-works.com,"1,00,000",2,Graduate Degree,Management,Y
20363,MR.,ALEXANDER,BROWN,03-05-1936,S,M,alexander6@adventure-works.com,"90,000",4,Bachelors,Management,Y
16876,MR.,JACKSON,SHARMA,06-05-1936,M,M,jackson3@adventure-works.com,"40,000",3,Partial College,Professional,N
22002,MRS.,KRISTEN,CHEN,08-05-1936,M,F,kristen2@adventure-works.com,"30,000",2,Partial College,Clerical,N
11340,MRS.,MELODY,MUNOZ,04-06-1936,M,F,melody8@adventure-works.com,"10,000",1,Graduate Degree,Clerical,Y
15394,MRS.,NATALIE,WILSON,04-06-1936,M,F,natalie74@adventure-works.com,"90,000",4,Bachelors,Management,Y
21314,MR.,DEVIN,PATTERSON,06-06-1936,M,M,devin49@adventure-works.com,"60,000",2,Graduate Degree,Management,N
23500,MRS.,ADRIANA,GARCIA,06-06-1936,M,F,adriana16@adventure-works.com,"80,000",4,Graduate Degree,Management,Y
27658,MR.,COLE,GRAY,07-06-1936,S,M,cole8@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
12540,MR.,LEVI,SARA,09-06-1936,M,M,levi9@adventure-works.com,"30,000",1,Graduate Degree,Clerical,Y
18841,MRS.,GABRIELLA,CAMPBELL,09-06-1936,M,F,gabriella29@adventure-works.com,"40,000",3,Partial College,Professional,N
24424,MRS.,MORGAN,RUSSELL,01-07-1936,M,F,morgan89@adventure-works.com,"1,30,000",2,Graduate Degree,Management,Y
25537,MR.,NATHAN,PHILLIPS,02-07-1936,S,M,nathan35@adventure-works.com,"20,000",1,Graduate Degree,Clerical,N
23502,MR.,LOGAN,LOPEZ,09-07-1936,M,M,logan46@adventure-works.com,"1,10,000",2,Graduate Degree,Management,Y
18842,MR.,JAMES,GONZALEZ,07-08-1936,S,M,james58@adventure-works.com,"40,000",3,Partial College,Professional,Y
13464,MRS.,MARTHA,HU,11-08-1936,M,F,martha20@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
29265,MRS.,MARISSA,DIAZ,11-08-1936,S,F,marissa17@adventure-works.com,"90,000",4,Bachelors,Management,N
26099,MRS.,CHRISTINA,BELL,01-09-1936,M,F,christina12@adventure-works.com,"40,000",3,Partial College,Professional,N
23973,MR.,ZACHARY,LONG,03-09-1936,S,M,zachary8@adventure-works.com,"10,000",1,Graduate Degree,Clerical,N
15450,MR.,MARSHALL,BLACK,06-10-1936,M,M,marshall40@adventure-works.com,"10,000",1,Graduate Degree,Clerical,Y
25191,MR.,AUSTIN,GONZALES,06-10-1936,S,M,austin13@adventure-works.com,"1,20,000",1,Graduate Degree,Management,N
27661,MR.,CHRISTOPHER,MARTINEZ,08-10-1936,M,M,christopher17@adventure-works.com,"1,20,000",1,Graduate Degree,Management,Y
13462,MR.,JAY,SARA,11-10-1936,S,M,jay17@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
16881,MR.,RUBEN,ALONSO,02-11-1936,M,M,ruben31@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
18847,MRS.,ARIANA,RICHARDSON,05-11-1936,M,F,ariana8@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
17449,MR.,JACKSON,ADAMS,07-11-1936,M,M,jackson47@adventure-works.com,"60,000",2,Graduate Degree,Management,Y
17884,MRS.,MAYRA,SCHMIDT,12-11-1936,M,F,mayra10@adventure-works.com,"30,000",1,Graduate Degree,Clerical,Y
27656,MR.,GABRIEL,BRYANT,12-11-1936,S,M,gabriel15@adventure-works.com,"40,000",3,Partial College,Professional,N
23050,MR.,JACK,HALL,08-12-1936,M,M,jack57@adventure-works.com,"50,000",2,Graduate Degree,Management,Y
13136,MRS.,VIRGINIA,MARTINEZ,11-12-1936,M,F,virginia20@adventure-works.com,"30,000",2,Partial College,Clerical,N
27728,MRS.,COLLEEN,DENG,08-01-1937,S,F,colleen25@adventure-works.com,"30,000",2,Partial College,Clerical,N
16730,MRS.,MARIAH,LONG,10-01-1937,M,F,mariah14@adventure-works.com,"30,000",2,Partial College,Clerical,N
16899,MRS.,WHITNEY,SANCHEZ,10-01-1937,M,F,whitney19@adventure-works.com,"1,10,000",2,Graduate Degree,Management,N
22125,MR.,ZACHARY,GARCIA,02-02-1937,M,M,zachary47@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
24931,MRS.,BRIANNA,MILLER,08-02-1937,S,F,brianna5@adventure-works.com,"40,000",4,High School,Professional,Y
22569,MR.,JOHNNY,GOEL,12-02-1937,M,M,johnny21@adventure-works.com,"30,000",1,Graduate Degree,Clerical,Y
20380,MRS.,CATHERINE,REED,02-03-1937,M,F,catherine18@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
24621,MR.,CHAD,SHAN,02-03-1937,M,M,chad12@adventure-works.com,"40,000",4,High School,Professional,Y
19726,MR.,JAVIER,RUBIO,04-03-1937,M,M,javier14@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
22123,MRS.,ISABELLA,BAILEY,04-03-1937,S,F,isabella90@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
21340,MR.,ADAM,WANG,05-03-1937,M,M,adam21@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
23669,MR.,SEAN,TORRES,05-03-1937,S,M,sean11@adventure-works.com,"50,000",3,Graduate Degree,Management,Y
22126,MRS.,RACHEL,WARD,08-03-1937,M,F,rachel41@adventure-works.com,"60,000",3,Graduate Degree,Management,N
21239,MRS.,CHRISTY,LIANG,11-03-1937,M,F,christy15@adventure-works.com,"30,000",2,Partial College,Clerical,N
12551,MR.,JULIO,RAMOS,12-03-1937,M,M,julio18@adventure-works.com,"20,000",1,Bachelors,Clerical,Y
27994,MRS.,JODI,RAI,07-04-1937,M,F,jodi18@adventure-works.com,"40,000",4,High School,Professional,Y
13509,MR.,LUCAS,JOHNSON,09-04-1937,M,M,lucas14@adventure-works.com,"30,000",1,Graduate Degree,Clerical,Y
15413,MR.,DONALD,PRASAD,09-04-1937,M,M,donald11@adventure-works.com,"1,30,000",2,Bachelors,Management,Y
27998,MR.,ETHAN,LEWIS,02-05-1937,S,M,ethan39@adventure-works.com,"50,000",3,Graduate Degree,Management,N
24494,MR.,RAFAEL,ZHOU,03-05-1937,M,M,rafael9@adventure-works.com,"30,000",2,Partial College,Clerical,N
28338,MRS.,KRISTI,VANCE,03-05-1937,M,F,kristi20@adventure-works.com,"30,000",2,Partial College,Clerical,N
14087,MR.,HAROLD,GARCIA,05-05-1937,S,M,harold12@adventure-works.com,"40,000",2,Bachelors,Management,Y
22124,MRS.,DESIREE,ALONSO,09-05-1937,M,F,desiree4@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
22394,MRS.,MEAGAN,SURI,06-06-1937,S,F,meagan0@adventure-works.com,"20,000",1,Graduate Degree,Clerical,N
17469,MR.,IAN,PEREZ,07-06-1937,M,M,ian34@adventure-works.com,"60,000",3,Graduate Degree,Management,N
15411,MR.,JAY,CHANDRA,11-07-1937,S,M,jay8@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
27995,MR.,CARLOS,STEWART,04-08-1937,S,M,carlos29@adventure-works.com,"40,000",4,High School,Professional,N
13484,MR.,MARCUS,MARTINEZ,06-08-1937,S,M,marcus18@adventure-works.com,"1,10,000",2,Graduate Degree,Management,Y
17468,MR.,JEREMIAH,GONZALEZ,01-09-1937,M,M,jeremiah19@adventure-works.com,"60,000",3,Graduate Degree,Management,Y
14499,MR.,SAMUEL,FLORES,04-09-1937,M,M,samuel11@adventure-works.com,"1,00,000",2,Graduate Degree,Management,Y
15998,MRS.,MARISSA,FLORES,05-09-1937,M,F,marissa9@adventure-works.com,"70,000",4,Graduate Degree,Management,Y
22018,MR.,TODD,SUN,05-09-1937,M,M,todd12@adventure-works.com,"40,000",2,Bachelors,Management,Y
13487,MRS.,EMILY,MARTIN,08-09-1937,M,F,emily15@adventure-works.com,"1,50,000",1,Graduate Degree,Management,Y
13508,MRS.,CASSANDRA,SANCHEZ,08-09-1937,M,F,cassandra21@adventure-works.com,"20,000",1,Graduate Degree,Clerical,Y
22017,MRS.,SHARON,SHE,12-09-1937,M,F,sharon6@adventure-works.com,"30,000",2,Partial College,Clerical,N
16002,MRS.,PAIGE,HAYES,02-10-1937,M,F,paige22@adventure-works.com,"1,10,000",2,Graduate Degree,Management,Y
